I,Ip,theta,theta_p,theta_pp,u_a
0.052724452,182.016696,1.83E-06,0.082233144,531.0944798,1
0.043155091,195.4131543,3.31E-06,0.036283671,462.9060777,1
0.07171459,156.090096,3.06E-06,0.091546444,740.8417908,1
0.056757008,176.5105867,4.05E-06,0.084284825,575.5670531,1
0.05994317,172.2104881,3.30E-06,0.079646337,616.3957512,1
0.126260271,82.01374714,3.79E-06,0.069415306,1387.740473,1
0.068594918,160.8844333,3.61E-06,0.023460956,766.8898247,1
0.065675229,164.2591578,1.50E-06,0.098070664,665.5129411,1
0.096215558,122.9056895,1.16E-06,0.070487541,1041.524645,1
0.068975976,160.227681,4.31E-06,0.040624759,755.6650698,1
0.120285488,90.06846342,1.52E-06,0.079227166,1310.16491,1
0.038956143,201.0339911,2.36E-06,0.04813448,403.8828803,1
0.04326559,194.7891667,2.02E-06,0.095179383,410.6342489,1
0.062472597,168.5216966,3.02E-06,0.110168909,617.7133803,1
0.137600092,66.45170707,2.66E-06,0.084946109,1503.926417,1
0.10463732,111.2855393,3.77E-06,0.089815378,1120.727593,1
0.127648564,80.34530027,4.74E-06,0.041871875,1428.732707,1
0.043491611,194.9268164,4.51E-06,0.039794014,463.5817758,1
0.036468562,203.8195471,5.16E-06,0.12285991,307.3661039,1
0.135277831,69.68592245,4.11E-06,0.075883864,1485.479925,1
